ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
8300,8300000000,18,,668130,0.0,,-83.459,,,10,,1,,,16,,,,,,,,,,,,,,
8300,8300000000,18,,668130,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
8300,8300000000,18,,668130,0.0,,-83.459,,,20,,1,,,15,,,,,,,,,,,,,,
8300,8300000000,18,,668130,0.0,,-83.459,,,31,,1,,,15,,,,,,,,,,,,,,
8300,8300000000,18,,668130,0.0,,-83.459,,,32,,1,,,15,,,,,,,,,,,,,,
8400,8400000000,18,,668122,0.0,,-83.459,,,10,,1,,,16,,,,,,,,,,,,,,
8400,8400000000,18,,668122,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
8400,8400000000,18,,668122,0.0,,-83.459,,,20,,1,,,15,,,,,,,,,,,,,,
8400,8400000000,18,,668122,0.0,,-83.459,,,31,,1,,,15,,,,,,,,,,,,,,
8400,8400000000,18,,668122,0.0,,-83.459,,,32,,1,,,15,,,,,,,,,,,,,,
8500,8500000000,18,,668114,0.0,,-83.459,,,10,,1,,,15,,,,,,,,,,,,,,
8500,8500000000,18,,668114,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
8500,8500000000,18,,668114,0.0,,-83.459,,,20,,1,,,15,,,,,,,,,,,,,,
8500,8500000000,18,,668114,0.0,,-83.459,,,31,,1,,,15,,,,,,,,,,,,,,
8500,8500000000,18,,668114,0.0,,-83.459,,,32,,1,,,15,,,,,,,,,,,,,,
8600,8600000000,18,,668105,0.0,,-83.459,,,10,,1,,,15,,,,,,,,,,,,,,
8600,8600000000,18,,668105,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
8600,8600000000,18,,668105,0.0,,-83.459,,,20,,1,,,15,,,,,,,,,,,,,,
8600,8600000000,18,,668105,0.0,,-83.459,,,31,,1,,,15,,,,,,,,,,,,,,
8600,8600000000,18,,668105,0.0,,-83.459,,,32,,1,,,15,,,,,,,,,,,,,,
8700,8700000000,18,,668097,0.0,,-83.459,,,10,,1,,,16,,,,,,,,,,,,,,
8700,8700000000,18,,668097,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
8700,8700000000,18,,668097,0.0,,-83.459,,,20,,1,,,15,,,,,,,,,,,,,,
8700,8700000000,18,,668097,0.0,,-83.459,,,22,,1,,,17,,,,,,,,,,,,,,
8700,8700000000,18,,668097,0.0,,-83.459,,,31,,1,,,15,,,,,,,,,,,,,,
8700,8700000000,18,,668097,0.0,,-83.459,,,32,,1,,,15,,,,,,,,,,,,,,
8800,8800000000,18,,668089,0.0,,-83.459,,,10,,1,,,16,,,,,,,,,,,,,,
8800,8800000000,18,,668089,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
8800,8800000000,18,,668089,0.0,,-83.459,,,20,,1,,,15,,,,,,,,,,,,,,
8800,8800000000,18,,668089,0.0,,-83.459,,,22,,1,,,17,,,,,,,,,,,,,,
8800,8800000000,18,,668089,0.0,,-83.459,,,31,,1,,,15,,,,,,,,,,,,,,
8800,8800000000,18,,668089,0.0,,-83.459,,,32,,1,,,15,,,,,,,,,,,,,,
8900,8900000000,18,,668080,0.0,,-83.459,,,10,,1,,,16,,,,,,,,,,,,,,
8900,8900000000,18,,668080,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
