# 
# Header Description:
# 
# Version: v2.0.0.1 Platform: 8.0.0 Manufacturer: HUAWEI Model: VKY-TL00
# 
# ElapsedRealtimeMillis,UtcTimeMillis,Svid,Cn0DbHz,angleZ,angleX,angleY
# 
282351865,1222628488000,19,11.709634780883789,-158.42203,-82.58582,56.780525
282351866,1222628488000,17,25.37670135498047,-158.42203,-82.58582,56.780525
282351866,1222628488000,8,31.499807357788086,-158.42203,-82.58582,56.780525
282352856,1222628489000,2,32.020267486572266,160.32123,-86.46554,-13.815025
282352856,1222628489000,5,31.641769409179688,160.32123,-86.46554,-13.815025
282352857,1222628489000,7,34.21346664428711,160.32123,-86.46554,-13.815025
282352857,1222628489000,8,7.0,160.32123,-86.46554,-13.815025
282352857,1222628489000,9,10.15416145324707,160.32123,-86.46554,-13.815025
282352857,1222628489000,13,39.67017364501953,160.32123,-86.46554,-13.815025
282352857,1222628489000,15,19.905029296875,160.32123,-86.46554,-13.815025
282352857,1222628489000,21,13.103963851928711,160.32123,-86.46554,-13.815025
282352857,1222628489000,27,7.0,160.32123,-86.46554,-13.815025
282352858,1222628489000,28,29.680587768554688,160.32123,-86.46554,-13.815025
282352858,1222628489000,30,27.097240447998047,160.32123,-86.46554,-13.815025
282352858,1222628489000,2,29.713253021240234,160.32123,-86.46554,-13.815025
282352858,1222628489000,18,22.145061492919922,160.32123,-86.46554,-13.815025
282352858,1222628489000,12,33.75965118408203,160.32123,-86.46554,-13.815025
282352858,1222628489000,11,36.93061828613281,160.32123,-86.46554,-13.815025
282352858,1222628489000,1,30.145843505859375,160.32123,-86.46554,-13.815025
282352858,1222628489000,19,11.962093353271484,160.32123,-86.46554,-13.815025
282352858,1222628489000,17,26.290781021118164,160.32123,-86.46554,-13.815025
282352858,1222628489000,8,27.059539794921875,160.32123,-86.46554,-13.815025
282353868,1222628490000,2,27.202045440673828,-116.13251,-78.42799,62.944202
282353869,1222628490000,5,32.45564270019531,-116.13251,-78.42799,62.944202
282353869,1222628490000,7,32.25965118408203,-116.13251,-78.42799,62.944202
282353869,1222628490000,8,7.0,-116.13251,-78.42799,62.944202
282353869,1222628490000,9,10.08889389038086,-116.13251,-78.42799,62.944202
282353869,1222628490000,13,39.134727478027344,-116.13251,-78.42799,62.944202
282353869,1222628490000,15,26.150476455688477,-116.13251,-78.42799,62.944202
282353869,1222628490000,21,12.243757247924805,-116.13251,-78.42799,62.944202
282353869,1222628490000,27,7.0,-116.13251,-78.42799,62.944202
282353869,1222628490000,28,31.399940490722656,-116.13251,-78.42799,62.944202
282353869,1222628490000,30,27.947023391723633,-116.13251,-78.42799,62.944202
282353870,1222628490000,2,34.71608352661133,-116.13251,-78.42799,62.944202
282353870,1222628490000,18,18.01494026184082,-116.13251,-78.42799,62.944202
282353870,1222628490000,12,31.43287467956543,-116.13251,-78.42799,62.944202
282353870,1222628490000,11,36.99038314819336,-116.13251,-78.42799,62.944202
282353870,1222628490000,1,30.988452911376953,-116.13251,-78.42799,62.944202
282353870,1222628490000,19,11.499658584594727,-116.13251,-78.42799,62.944202
282353870,1222628490000,17,29.83083724975586,-116.13251,-78.42799,62.944202
282353870,1222628490000,8,28.14141845703125,-116.13251,-78.42799,62.944202
282354853,1222628491000,2,27.41386604309082,-115.33381,-86.34736,29.310005
282354854,1222628491000,5,28.287813186645508,-115.33381,-86.34736,29.310005
282354854,1222628491000,7,27.776559829711914,-115.33381,-86.34736,29.310005
282354854,1222628491000,8,7.0,-115.33381,-86.34736,29.310005
282354854,1222628491000,9,12.505081176757812,-115.33381,-86.34736,29.310005
282354854,1222628491000,13,36.1893310546875,-115.33381,-86.34736,29.310005
282354854,1222628491000,15,24.623104095458984,-115.33381,-86.34736,29.310005
282354854,1222628491000,21,11.493459701538086,-115.33381,-86.34736,29.310005
282354854,1222628491000,27,7.0,-115.33381,-86.34736,29.310005
282354855,1222628491000,28,30.623249053955078,-115.33381,-86.34736,29.310005
282354855,1222628491000,30,27.354557037353516,-115.33381,-86.34736,29.310005
282354855,1222628491000,2,35.58006286621094,-115.33381,-86.34736,29.310005
282354855,1222628491000,18,17.52458381652832,-115.33381,-86.34736,29.310005
282354855,1222628491000,12,30.027095794677734,-115.33381,-86.34736,29.310005
282354855,1222628491000,11,34.94392776489258,-115.33381,-86.34736,29.310005
282354855,1222628491000,1,29.869159698486328,-115.33381,-86.34736,29.310005
282354855,1222628491000,19,12.118074417114258,-115.33381,-86.34736,29.310005
282354855,1222628491000,17,28.475385665893555,-115.33381,-86.34736,29.310005
282354855,1222628491000,8,29.692445755004883,-115.33381,-86.34736,29.310005
282355875,1222628492000,2,29.413698196411133,-96.77737,-87.272,35.27242
282355875,1222628492000,5,28.509008407592773,-96.77737,-87.272,35.27242
282355875,1222628492000,7,23.135089874267578,-96.77737,-87.272,35.27242
282355876,1222628492000,8,7.0,-96.77737,-87.272,35.27242
282355876,1222628492000,9,11.996782302856445,-96.77737,-87.272,35.27242
282355876,1222628492000,13,33.51081085205078,-96.77737,-87.272,35.27242
282355876,1222628492000,15,19.935277938842773,-96.77737,-87.272,35.27242
282355876,1222628492000,21,10.633251190185547,-96.77737,-87.272,35.27242
282355876,1222628492000,27,7.0,-96.77737,-87.272,35.27242
282355876,1222628492000,28,30.158950805664062,-96.77737,-87.272,35.27242
282355876,1222628492000,30,30.496641159057617,-96.77737,-87.272,35.27242
282355876,1222628492000,2,31.625951766967773,-96.77737,-87.272,35.27242
282355876,1222628492000,18,20.4659481048584,-96.77737,-87.272,35.27242
282355877,1222628492000,12,34.116302490234375,-96.77737,-87.272,35.27242
282355877,1222628492000,11,35.99329376220703,-96.77737,-87.272,35.27242
282355877,1222628492000,1,28.526765823364258,-96.77737,-87.272,35.27242
282355877,1222628492000,19,11.615606307983398,-96.77737,-87.272,35.27242
282355877,1222628492000,17,29.901138305664062,-96.77737,-87.272,35.27242
282355877,1222628492000,8,27.39745330810547,-96.77737,-87.272,35.27242
282356858,1222628493000,2,33.86817932128906,137.14693,-88.11425,-147.26479
282356859,1222628493000,5,31.114877700805664,137.14693,-88.11425,-147.26479
282356859,1222628493000,7,26.39518165588379,137.14693,-88.11425,-147.26479
282356859,1222628493000,8,7.0,137.14693,-88.11425,-147.26479
282356859,1222628493000,9,12.1021728515625,137.14693,-88.11425,-147.26479
282356859,1222628493000,13,31.529521942138672,137.14693,-88.11425,-147.26479
282356859,1222628493000,15,18.86341094970703,137.14693,-88.11425,-147.26479
282356859,1222628493000,21,9.773056030273438,137.14693,-88.11425,-147.26479
282356860,1222628493000,27,7.0,137.14693,-88.11425,-147.26479
282356860,1222628493000,28,28.148698806762695,137.14693,-88.11425,-147.26479
282356860,1222628493000,30,32.51824188232422,137.14693,-88.11425,-147.26479
282356860,1222628493000,2,27.594884872436523,137.14693,-88.11425,-147.26479
282356860,1222628493000,18,19.722536087036133,137.14693,-88.11425,-147.26479
282356860,1222628493000,12,37.85499954223633,137.14693,-88.11425,-147.26479
282356860,1222628493000,11,32.5238037109375,137.14693,-88.11425,-147.26479
282356860,1222628493000,1,27.86381721496582,137.14693,-88.11425,-147.26479
282356860,1222628493000,19,11.125337600708008,137.14693,-88.11425,-147.26479
282356860,1222628493000,17,29.439834594726562,137.14693,-88.11425,-147.26479
282356861,1222628493000,8,28.163694381713867,137.14693,-88.11425,-147.26479
282357894,1222628494000,2,35.61810302734375,44.04989,-80.74379,63.43495
282357895,1222628494000,5,38.06068420410156,44.04989,-80.74379,63.43495
282357895,1222628494000,7,26.49990463256836,44.04989,-80.74379,63.43495
282357895,1222628494000,8,7.0,44.04989,-80.74379,63.43495
282357895,1222628494000,9,11.241949081420898,44.04989,-80.74379,63.43495
282357895,1222628494000,13,35.754188537597656,44.04989,-80.74379,63.43495
282357895,1222628494000,15,20.364662170410156,44.04989,-80.74379,63.43495
282357895,1222628494000,21,9.377357482910156,44.04989,-80.74379,63.43495
282357895,1222628494000,27,9.297292709350586,44.04989,-80.74379,63.43495
282357897,1222628494000,28,27.992345809936523,44.04989,-80.74379,63.43495
282357897,1222628494000,30,33.678077697753906,44.04989,-80.74379,63.43495
282357897,1222628494000,2,24.42481231689453,44.04989,-80.74379,63.43495
282357898,1222628494000,18,21.856082916259766,44.04989,-80.74379,63.43495
282357898,1222628494000,12,34.5191535949707,44.04989,-80.74379,63.43495
282357898,1222628494000,11,34.1209831237793,44.04989,-80.74379,63.43495
282357898,1222628494000,1,29.822343826293945,44.04989,-80.74379,63.43495
282357898,1222628494000,19,11.771108627319336,44.04989,-80.74379,63.43495
282357898,1222628494000,17,28.737489700317383,44.04989,-80.74379,63.43495
282357898,1222628494000,8,33.67761993408203,44.04989,-80.74379,63.43495
282358839,1222628495000,2,36.178375244140625,44.84018,-84.9013,19.776075
282358839,1222628495000,5,38.120399475097656,44.84018,-84.9013,19.776075
282358839,1222628495000,7,26.07067108154297,44.84018,-84.9013,19.776075
282358839,1222628495000,8,7.0,44.84018,-84.9013,19.776075
282358839,1222628495000,9,12.33338737487793,44.84018,-84.9013,19.776075
282358839,1222628495000,13,38.02446746826172,44.84018,-84.9013,19.776075
282358839,1222628495000,15,22.181941986083984,44.84018,-84.9013,19.776075
282358839,1222628495000,21,9.70804214477539,44.84018,-84.9013,19.776075
282358839,1222628495000,27,9.152753829956055,44.84018,-84.9013,19.776075
282358839,1222628495000,28,35.36398696899414,44.84018,-84.9013,19.776075
282358840,1222628495000,30,37.58481216430664,44.84018,-84.9013,19.776075
282358840,1222628495000,2,26.376239776611328,44.84018,-84.9013,19.776075
282358840,1222628495000,18,21.79657554626465,44.84018,-84.9013,19.776075
282358840,1222628495000,12,35.69025421142578,44.84018,-84.9013,19.776075
282358840,1222628495000,11,35.87031936645508,44.84018,-84.9013,19.776075
282358840,1222628495000,1,32.61827850341797,44.84018,-84.9013,19.776075
282358840,1222628495000,19,10.910888671875,44.84018,-84.9013,19.776075
282358840,1222628495000,17,27.281272888183594,44.84018,-84.9013,19.776075
282358840,1222628495000,8,39.669822692871094,44.84018,-84.9013,19.776075
282359874,1222628496000,2,37.62906265258789,82.94953,-83.43998,7.184268
282359875,1222628496000,5,33.45901870727539,82.94953,-83.43998,7.184268
282359875,1222628496000,7,25.18499183654785,82.94953,-83.43998,7.184268
282359875,1222628496000,8,7.0,82.94953,-83.43998,7.184268
282359875,1222628496000,9,11.658294677734375,82.94953,-83.43998,7.184268
282359875,1222628496000,13,34.779293060302734,82.94953,-83.43998,7.184268
282359875,1222628496000,15,22.98484230041504,82.94953,-83.43998,7.184268
282359875,1222628496000,21,10.890815734863281,82.94953,-83.43998,7.184268
282359875,1222628496000,27,8.292533874511719,82.94953,-83.43998,7.184268
282359875,1222628496000,28,37.078460693359375,82.94953,-83.43998,7.184268
282359875,1222628496000,30,37.394744873046875,82.94953,-83.43998,7.184268
282359875,1222628496000,2,31.131553649902344,82.94953,-83.43998,7.184268
282359876,1222628496000,18,26.189525604248047,82.94953,-83.43998,7.184268
282359876,1222628496000,12,31.3595027923584,82.94953,-83.43998,7.184268
282359876,1222628496000,11,38.268394470214844,82.94953,-83.43998,7.184268
282359876,1222628496000,1,34.53111267089844,82.94953,-83.43998,7.184268
282359876,1222628496000,19,10.050704956054688,82.94953,-83.43998,7.184268
